sample	true_super_pop	kmeans	ward
HG02879	AFR	0	1
HG03297	AFR	0	1
HG02143	AFR	0	1
NA18541	EAS	2	2
HG01781	EUR	4	0
HG02239	EUR	4	0
HG03485	AFR	0	1
NA18999	EAS	2	2
HG00110	EUR	4	0
HG02595	AFR	0	1
NA20587	EUR	4	0
NA19785	AMR	3	4
NA19312	AFR	0	1
NA18749	EAS	2	2
HG00736	AMR	4	0
HG01945	AMR	3	4
HG00740	AMR	4	0
HG03259	AFR	0	1
HG02455	AFR	0	1
HG03833	SAS	1	3
NA20278	AFR	4	0
HG00371	EUR	4	0
HG02786	SAS	1	3
NA20763	EUR	4	0
HG00464	EAS	2	2
NA19728	AMR	3	4
NA19318	AFR	0	1
HG01075	AMR	4	0
HG02793	SAS	1	3
NA20769	EUR	4	0
NA20321	AFR	0	1
HG03792	SAS	1	3
NA20894	SAS	1	3
HG02780	SAS	1	3
HG03885	SAS	1	3
HG03770	SAS	1	3
HG03121	AFR	0	1
NA18916	AFR	0	1
HG02870	AFR	0	1
NA18952	EAS	2	2
NA20826	EUR	4	0
HG00565	EAS	2	2
NA18998	EAS	2	2
NA19468	AFR	0	1
HG03295	AFR	0	1
NA19223	AFR	0	1
HG04156	SAS	1	3
HG04063	SAS	1	3
NA20814	EUR	4	0
HG00131	EUR	4	0
NA18972	EAS	2	2
HG02588	AFR	0	1
HG03343	AFR	0	1
HG01571	AMR	3	4
HG01976	AMR	3	4
HG04152	SAS	1	3
HG00690	EAS	2	2
HG00243	EUR	4	0
HG00127	EUR	4	0
HG02722	AFR	0	1
HG01935	AMR	3	4
HG01817	EAS	2	2
NA06984	EUR	4	0
HG00375	EUR	4	0
NA21124	SAS	1	3
HG00339	EUR	4	0
HG02084	EAS	2	2
HG03571	AFR	0	1
HG00189	EUR	4	0
NA18915	AFR	0	1
NA19472	AFR	0	1
NA19900	AFR	0	1
HG00657	EAS	2	2
HG03363	AFR	0	1
NA18511	AFR	0	1
NA18549	EAS	2	2
HG01485	AMR	0	0
NA19761	AMR	3	4
HG02489	AFR	0	1
HG03705	SAS	1	3
NA12878	EUR	4	0
HG02470	AFR	0	1
NA11843	EUR	4	0
NA19084	EAS	2	2
NA20761	EUR	4	0
NA18630	EAS	2	2
HG00319	EUR	4	0
HG01858	EAS	2	2
HG02002	AMR	3	4
NA19700	AFR	0	1
NA21129	SAS	1	3
HG02494	SAS	1	3
HG04171	SAS	1	3
HG00699	EAS	2	2
NA20771	EUR	4	0
NA19732	AMR	3	4
HG01870	EAS	2	2
NA20770	EUR	4	0
HG04206	SAS	1	3
HG01187	AMR	4	0
HG02353	EAS	2	2
NA20525	EUR	4	0
NA20876	SAS	1	3
HG02491	SAS	1	3
HG01757	EUR	4	0
HG03091	AFR	0	1
HG03738	SAS	1	3
HG02010	AFR	0	1
NA19159	AFR	0	1
NA18605	EAS	2	2
NA20127	AFR	0	1
HG01761	EUR	4	0
HG01107	AMR	4	0
NA19440	AFR	0	1
NA12004	EUR	4	0
HG03139	AFR	0	1
HG03928	SAS	1	3
NA18501	AFR	0	1
NA18560	EAS	2	2
HG03470	AFR	0	1
HG01868	EAS	2	2
HG03760	SAS	1	3
NA19054	EAS	2	2
HG03024	AFR	0	1
HG02394	EAS	2	2
NA19834	AFR	0	1
HG00596	EAS	2	2
HG04093	SAS	1	3
HG04198	SAS	1	3
HG03777	SAS	1	3
HG01503	EUR	4	0
NA19002	EAS	2	2
HG01183	AMR	4	0
HG02054	AFR	0	1
HG02379	EAS	2	2
HG01864	EAS	2	2
HG03720	SAS	1	3
HG00361	EUR	4	0
HG03240	AFR	0	1
NA18561	EAS	2	2
HG03354	AFR	0	1
HG02702	AFR	0	1
HG02315	AFR	0	1
NA12813	EUR	4	0
HG01280	AMR	4	0
HG04020	SAS	1	3
HG03974	SAS	1	3
NA21111	SAS	1	3
HG03868	SAS	1	3
NA11830	EUR	4	0
HG01860	EAS	2	2
HG01799	EAS	2	2
NA18531	EAS	2	2
NA19794	AMR	4	0
HG00631	EAS	2	2
HG02586	AFR	0	1
HG01767	EUR	4	0
NA19682	AMR	3	0
HG03372	AFR	0	1
HG04001	SAS	1	3
NA11931	EUR	4	0
HG00353	EUR	4	0
HG03652	SAS	1	3
NA20892	SAS	1	3
NA19121	AFR	0	1
HG03446	AFR	0	1
HG01632	EUR	4	0
NA12889	EUR	4	0
NA20800	EUR	4	0
HG02401	EAS	2	2
HG01197	AMR	4	0
NA19334	AFR	0	1
NA18641	EAS	2	2
NA19777	AMR	3	0
NA19197	AFR	0	1
HG00734	AMR	4	0
NA20539	EUR	4	0
NA19443	AFR	0	1
HG01939	AMR	3	4
NA12828	EUR	4	0
HG02017	EAS	2	2
HG03931	SAS	1	3
HG03279	AFR	0	1
NA21110	SAS	1	3
NA21120	SAS	1	3
HG03989	SAS	1	3
NA19448	AFR	0	1
HG00362	EUR	4	0
NA19909	AFR	0	1
HG01795	EAS	2	2
HG03857	SAS	1	3
NA20805	EUR	4	0
HG01853	EAS	2	2
HG00559	EAS	2	2
NA18626	EAS	2	2
NA20891	SAS	1	3
HG01894	AFR	0	1
HG01797	EAS	2	2
HG01841	EAS	2	2
NA18574	EAS	2	2
HG01149	AMR	3	0
HG01405	AMR	4	0
HG04096	SAS	1	3
NA19384	AFR	0	1
HG02375	EAS	2	2
HG02050	EAS	2	2
NA19735	AMR	3	4
NA19908	AFR	0	1
NA19095	AFR	0	1
NA20509	EUR	4	0
HG02600	SAS	1	3
HG02155	EAS	2	2
HG02768	AFR	0	1
HG03684	SAS	1	3
HG02406	EAS	2	2
HG02277	AMR	3	4
HG03077	AFR	0	1
HG00337	EUR	4	0
HG01413	AMR	4	0
NA12546	EUR	4	0
NA18546	EAS	2	2
HG00232	EUR	4	0
HG01859	EAS	2	2
HG01673	EUR	4	0
HG02223	EUR	4	0
HG04062	SAS	1	3
HG03736	SAS	1	3
HG03073	AFR	0	1
HG01694	EUR	4	0
HG02104	AMR	3	4
HG03953	SAS	1	3
NA18534	EAS	2	2
HG00500	EAS	2	2
HG03773	SAS	1	3
HG03433	AFR	0	1
HG03437	AFR	0	1
NA19317	AFR	0	1
HG01556	AMR	4	0
HG03127	AFR	0	1
NA21099	SAS	1	3
HG01747	EUR	4	0
HG00288	EUR	4	0
HG00239	EUR	4	0
HG01182	AMR	4	0
NA20508	EUR	4	0
HG03978	SAS	1	3
HG01938	AMR	3	4
HG02852	AFR	0	1
NA18975	EAS	2	2
NA19027	AFR	0	1
HG01092	AMR	4	0
HG02323	AFR	0	1
HG01348	AMR	3	0
HG03802	SAS	1	3
NA19207	AFR	0	1
HG00250	EUR	4	0
NA18994	EAS	2	2
HG01874	EAS	2	2
NA18985	EAS	2	2
HG02360	EAS	2	2
HG03905	SAS	1	3
HG02725	SAS	1	3
NA21109	SAS	1	3
NA18954	EAS	2	2
NA07347	EUR	4	0
HG02450	AFR	0	1
NA12154	EUR	4	0
HG00285	EUR	4	0
HG03086	AFR	0	1
HG03234	SAS	1	3
HG03899	SAS	1	3
HG00654	EAS	2	2
HG04182	SAS	1	3
NA19113	AFR	0	1
HG01372	AMR	4	0
HG03052	AFR	0	1
HG03135	AFR	0	1
HG03021	SAS	1	3
NA20854	SAS	1	3
HG02620	AFR	0	1
HG02493	SAS	1	3
HG01979	AMR	3	4
NA19117	AFR	0	1
NA12058	EUR	4	0
HG00142	EUR	4	0
HG01927	AMR	3	4
NA20772	EUR	4	0
HG02944	AFR	0	1
HG02947	AFR	0	1
HG04033	SAS	1	3
NA18950	EAS	2	2
HG02137	EAS	2	2
HG01863	EAS	2	2
HG03271	AFR	0	1
HG02317	AFR	0	1
NA19449	AFR	0	1
HG01997	AMR	3	4
HG03484	AFR	0	1
HG03159	AFR	0	1
HG04099	SAS	1	3
HG02334	AFR	0	1
NA19078	EAS	2	2
NA20753	EUR	4	0
HG01468	AMR	4	0
HG02318	AFR	0	1
NA19451	AFR	0	1
HG03084	AFR	0	1
HG01756	EUR	4	0
NA19210	AFR	0	1
HG00707	EAS	2	2
NA20846	SAS	1	3
NA20866	SAS	1	3
HG03378	AFR	0	1
NA19058	EAS	2	2
NA20296	AFR	0	1
HG01286	AMR	4	0
NA19235	AFR	0	1
NA20901	SAS	1	3
NA21105	SAS	1	3
NA19774	AMR	4	0
HG00419	EAS	2	2
HG03778	SAS	1	3
HG01063	AMR	0	0
HG03488	SAS	1	3
NA19431	AFR	0	1
HG01351	AMR	4	0
HG01950	AMR	3	4
HG02604	SAS	1	3
HG02399	EAS	2	2
NA19734	AMR	3	0
HG00689	EAS	2	2
NA18563	EAS	2	2
HG01705	EUR	4	0
NA20877	SAS	1	3
NA20585	EUR	4	0
NA06989	EUR	4	0
HG00181	EUR	4	0
NA19390	AFR	0	1
NA20849	SAS	1	3
HG01848	EAS	2	2
NA19093	AFR	0	1
HG01311	AMR	4	0
HG00403	EAS	2	2
HG01504	EUR	4	0
HG00327	EUR	4	0
HG02220	EUR	4	0
NA18548	EAS	2	2
NA18966	EAS	2	2
HG03123	AFR	0	1
HG02923	AFR	0	1
HG00409	EAS	2	2
HG01872	EAS	2	2
HG01805	EAS	2	2
HG02429	AFR	0	1
NA18957	EAS	2	2
